start_id,end_id,type
W3198350258,C41008148,RELATED_TO
W3198350258,C154945302,RELATED_TO
W3198350258,C119857082,RELATED_TO
W2594639291,C154945302,RELATED_TO
W2594639291,C41008148,RELATED_TO
W2594639291,C153180895,RELATED_TO
W2594639291,C15744967,RELATED_TO
W1532362218,A5076168268,WRITTEN_BY
A5076168268,I241749,AFFILIATED_WITH
W1532362218,A5017469047,WRITTEN_BY
A5017469047,I241749,AFFILIATED_WITH
W1532362218,C94915269,RELATED_TO
W1532362218,C61265191,RELATED_TO
W1532362218,C41008148,RELATED_TO
W1532362218,C3261483,RELATED_TO
W1532362218,C154945302,RELATED_TO
W1532362218,C39499422,RELATED_TO
W1532362218,C126042441,RELATED_TO
W1532362218,C2776401178,RELATED_TO
W1532362218,C31972630,RELATED_TO
W1532362218,C98045186,RELATED_TO
W1532362218,C68339613,RELATED_TO
W1532362218,C52622490,RELATED_TO
W1532362218,C153180895,RELATED_TO
W1532362218,C115961682,RELATED_TO
W1532362218,C76155785,RELATED_TO
W1532362218,C41895202,RELATED_TO
W1532362218,C138885662,RELATED_TO
W1532362218,C111919701,RELATED_TO
W2750384547,A5034144249,WRITTEN_BY
W2750384547,A5075846365,WRITTEN_BY
W2750384547,A5011375551,WRITTEN_BY
W2750384547,C190502265,RELATED_TO
W2750384547,C86251818,RELATED_TO
W2750384547,C154945302,RELATED_TO
W2750384547,C78201319,RELATED_TO
W2750384547,C41008148,RELATED_TO
W2750384547,C177264268,RELATED_TO
W2750384547,C169903167,RELATED_TO
W2750384547,C153180895,RELATED_TO
W2750384547,C115961682,RELATED_TO
W2750384547,C119857082,RELATED_TO
W2750384547,C11413529,RELATED_TO
W2750384547,C108583219,RELATED_TO
W2750384547,C162853370,RELATED_TO
W2750384547,C144133560,RELATED_TO
W2750384547,C199360897,RELATED_TO
W1495061682,A5056507889,WRITTEN_BY
W1495061682,C154945302,RELATED_TO
W1495061682,C148483581,RELATED_TO
W1495061682,C119857082,RELATED_TO
W1495061682,C2776401178,RELATED_TO
W1495061682,C41008148,RELATED_TO
W1495061682,C153180895,RELATED_TO
W1495061682,C173801870,RELATED_TO
W1495061682,C52001869,RELATED_TO
W1495061682,C158154518,RELATED_TO
W1495061682,C117220453,RELATED_TO
W1495061682,C177264268,RELATED_TO
W1495061682,C84525736,RELATED_TO
W1495061682,C124101348,RELATED_TO
W1495061682,C12267149,RELATED_TO
W1495061682,C33923547,RELATED_TO
W1495061682,C138885662,RELATED_TO
W1495061682,C41895202,RELATED_TO
W1495061682,C2524010,RELATED_TO
W1495061682,C17744445,RELATED_TO
W1495061682,C199539241,RELATED_TO
W1495061682,C199360897,RELATED_TO
W1873332500,A5066370772,WRITTEN_BY
W1873332500,C119857082,RELATED_TO
W1873332500,C154945302,RELATED_TO
W1873332500,C41008148,RELATED_TO
W1873332500,C95623464,RELATED_TO
W1873332500,C136389625,RELATED_TO
W1873332500,C34872919,RELATED_TO
W1873332500,C2777212361,RELATED_TO
W1873332500,C58973888,RELATED_TO
W1873332500,C50644808,RELATED_TO
W2912213068,A5100636286,WRITTEN_BY
A5100636286,I200769079,AFFILIATED_WITH
A5100636286,I889458895,AFFILIATED_WITH
W2912213068,A5100356161,WRITTEN_BY
W2912213068,A5068882233,WRITTEN_BY
W2912213068,A5051874566,WRITTEN_BY
A5051874566,I82880672,AFFILIATED_WITH
W2912213068,C41008148,RELATED_TO
W2912213068,C2992525071,RELATED_TO
W2912213068,C150899416,RELATED_TO
W2912213068,C154945302,RELATED_TO
W2912213068,C2522767166,RELATED_TO
W2912213068,C38652104,RELATED_TO
W1485009520,A5091515481,WRITTEN_BY
A5091515481,I200769079,AFFILIATED_WITH
A5091515481,I889458895,AFFILIATED_WITH
W1485009520,A5018500051,WRITTEN_BY
A5018500051,I200769079,AFFILIATED_WITH
A5018500051,I889458895,AFFILIATED_WITH
W1485009520,A5100663938,WRITTEN_BY
A5100663938,I200769079,AFFILIATED_WITH
A5100663938,I889458895,AFFILIATED_WITH
W1485009520,A5073139380,WRITTEN_BY
A5073139380,I200769079,AFFILIATED_WITH
A5073139380,I889458895,AFFILIATED_WITH
W1485009520,A5101899480,WRITTEN_BY
A5101899480,I4210104672,AFFILIATED_WITH
W1485009520,A5057734311,WRITTEN_BY
A5057734311,I4210104672,AFFILIATED_WITH
W1485009520,C2781013037,RELATED_TO
W1485009520,C41008148,RELATED_TO
W1485009520,C81363708,RELATED_TO
W1485009520,C154945302,RELATED_TO
W1485009520,C107054158,RELATED_TO
W1485009520,C48103436,RELATED_TO
W1485009520,C119857082,RELATED_TO
W1485009520,C12713177,RELATED_TO
W1485009520,C153180895,RELATED_TO
W1485009520,C11413529,RELATED_TO
W1485009520,C153294291,RELATED_TO
W1485009520,C205649164,RELATED_TO
W2040884411,A5024803432,WRITTEN_BY
A5024803432,I74973139,AFFILIATED_WITH
W2040884411,A5081275482,WRITTEN_BY
A5081275482,I4210143426,AFFILIATED_WITH
A5081275482,I4210156906,AFFILIATED_WITH
W2040884411,C41008148,RELATED_TO
W2040884411,C119857082,RELATED_TO
W2040884411,C154945302,RELATED_TO
W2040884411,C192209626,RELATED_TO
W2040884411,C26517878,RELATED_TO
